name,artist,cluster
Se Eu Quiser Falar Com Deus                                                                                                                                                      ,Gilberto Gil                                    ,33
Saudade De Bahia                                                                                                                                                                 ,Antônio Carlos Jobim                            ,31
"Canta Canta, Minha Gente                                                                                                                                                       ",Martinho Da Vila                                ,27
Mulher Eu Sei                                                                                                                                                                    ,Chico César                                     ,4
Rosa Morena                                                                                                                                                                      ,Kurt Elling                                     ,4
Desafinado                                                                                                                                                                       ,Stan Getz                                       ,25
Madalena                                                                                                                                                                         ,Maria Gasolina                                  ,36
O Meu Amor É Glòria                                                                                                                                                              ,Sílvia Pérez Cruz                               ,13
Brigas Nunca Mais                                                                                                                                                                ,Paula Morelenbaum                               ,21
Previsao                                                                                                                                                                         ,Bossacucanova                                   ,14
The Girl From Ipanema                                                                                                                                                            ,Stan Getz                                       ,21
Blue Bossa - Remastered                                                                                                                                                          ,Joe Henderson                                   ,36
Aqua De Coco                                                                                                                                                                     ,Marcos Valle                                    ,11
Samba de Verão                                                                                                                                                                   ,Marcos Valle                                    ,14
Mas Que Nada                                                                                                                                                                     ,Rio Combo                                       ,29
Nova Bossa Nova                                                                                                                                                                  ,Marcos Valle                                    ,36
Não Sei                                                                                                                                                                          ,Sílvia Pérez Cruz                               ,15
A Força Que Nunca Seca (feat. Maria Bethânia)                                                                                                                                    ,Chico César                                     ,4
Aquarela Do Brasil                                                                                                                                                               ,Carlos Barbosa-Lima                             ,34
Brigas Nunca Mais                                                                                                                                                                ,Brazilian Jazz                                  ,26
Águas De Março                                                                                                                                                                   ,Antônio Carlos Jobim                            ,14
Aquarela Do Brasil                                                                                                                                                               ,Voyager                                         ,26
Chega De Saudade                                                                                                                                                                 ,João Gilberto                                   ,25
Don't Stop the Carnival                                                                                                                                                          ,Sonny Rollins                                   ,38
Rebel Rebel                                                                                                                                                                      ,Seu Jorge                                       ,15
Rosa Morena - Live At Carnegie Hall/1964                                                                                                                                         ,Stan Getz                                       ,33
Karoliina Kaunis                                                                                                                                                                 ,Maria Gasolina                                  ,7
"Brigas, Nunca Mais                                                                                                                                                             ",João Gilberto                                   ,14
Aquarela Do Brasil                                                                                                                                                               ,Gal Costa                                       ,32
Kaipuusamba                                                                                                                                                                      ,Maria Gasolina                                  ,4
Batida Diferente                                                                                                                                                                 ,Cannonball Adderley                             ,36
Team Zissou                                                                                                                                                                      ,Seu Jorge                                       ,21
Parabens                                                                                                                                                                         ,Marcos Valle                                    ,1
O Amor Em Paz                                                                                                                                                                    ,Cannonball Adderley                             ,36
Once Again                                                                                                                                                                       ,Stan Getz                                       ,21
Mariana                                                                                                                                                                          ,Bïa                                             ,3
Mariana                                                                                                                                                                          ,Seu Jorge                                       ,18
Carnaval Inesquecível Na Cidade Alta                                                                                                                                             ,Mundo Livre S/A                                 ,31
Garota De Ipanema                                                                                                                                                                ,Leila Pinheiro                                  ,21
Corcovado - Remastered                                                                                                                                                           ,Cannonball Adderley                             ,36
O Pato (The Duck) - Live At Carnegie Hall/1964                                                                                                                                   ,João Gilberto                                   ,33
August Day Song                                                                                                                                                                  ,Bebel Gilberto                                  ,15
Os Grilos                                                                                                                                                                        ,Marcos Valle                                    ,3
Saudade Fez Um Samba                                                                                                                                                             ,João Gilberto                                   ,14
OBI                                                                                                                                                                              ,Toots Thielemans                                ,15
Mas Que Nada                                                                                                                                                                     ,Jorge Ben Jor                                   ,15
Laia Ladia                                                                                                                                                                       ,Brazilian Jazz                                  ,15
Triste                                                                                                                                                                           ,Brazilian Jazz                                  ,36
Só Danço Samba                                                                                                                                                                   ,Stan Getz                                       ,36
Samba Triste                                                                                                                                                                     ,Stan Getz                                       ,15
País Tropical                                                                                                                                                                    ,Wilson Simonal                                  ,21
Coracao Vagabundo                                                                                                                                                                ,Toots Thielemans                                ,4
Pais Tropical                                                                                                                                                                    ,Sergio Mendes & Brasil '66                      ,32
Life On Mars?                                                                                                                                                                    ,Seu Jorge                                       ,21
Apelo                                                                                                                                                                            ,Brazilian Jazz                                  ,34
"O Que É, O Que É                                                                                                                                                               ",Cesar Camargo Mariano & Romero Lubambo          ,36
Maroca                                                                                                                                                                           ,Mundo Livre                                     ,22
Apelo                                                                                                                                                                            ,Jenny Chi                                       ,4
Samba Da Minha Terra - Live At Carnegie Hall/1964                                                                                                                                ,Stan Getz                                       ,33
Corcovado                                                                                                                                                                        ,Stan Getz                                       ,15
Chega de Saudade                                                                                                                                                                 ,Jenny Chi                                       ,14
Coisa Feita                                                                                                                                                                      ,Toots Thielemans                                ,36
Felicia and Bianca                                                                                                                                                               ,Toots Thielemans                                ,15
Rosa Morena                                                                                                                                                                      ,Dorival Caymmi                                  ,29
Insensatez                                                                                                                                                                       ,Stan Getz                                       ,36
Menina Moca                                                                                                                                                                      ,Stan Getz                                       ,15
So Nice (Summer Samba)                                                                                                                                                           ,Marcos Valle                                    ,21
Santa Maria de Feira                                                                                                                                                             ,Devendra Banhart                                ,14
Já Sei Namorar - 2004 Digital Remaster                                                                                                                                           ,Tribalistas                                     ,18
Blue Bossa                                                                                                                                                                       ,Tete Montoliu                                   ,36
Aguas De Março                                                                                                                                                                   ,Tempo Rei                                       ,15
Bossa Dorado                                                                                                                                                                     ,Pete Krebs & The Kung Pao Chi                   ,14
Orange Afternoon                                                                                                                                                                 ,Bebe                                            ,21
Homens                                                                                                                                                                           ,Manu Chao                                       ,18
"Lisboa, Menina E Moça                                                                                                                                                          ",Som Ibérico                                     ,36
Lisboa menina e moça                                                                                                                                                             ,Various Artists                                 ,15
Para Machuchar Meu Coracao                                                                                                                                                       ,Stan Getz                                       ,25
Esperando Na Janela - Versão Acústica                                                                                                                                            ,Gilberto Gil                                    ,25
Água de beber                                                                                                                                                                    ,Tania Maria                                     ,36
Mama África                                                                                                                                                                      ,Chico César                                     ,32
Á Primeira Vista                                                                                                                                                                 ,Chico César                                     ,33
Tambores                                                                                                                                                                         ,Chico César                                     ,33
Guarda-me A Vida Na Mão                                                                                                                                                          ,Ana Moura                                       ,15
A Prosa Impúrpura do Caicó                                                                                                                                                       ,Chico César                                     ,33
Paraíba                                                                                                                                                                          ,Chico César                                     ,33
Berekerê - Voice                                                                                                                                                                 ,Geraldo Azevedo                                 ,18
Pagode da Saidera                                                                                                                                                                ,Martinho Da Vila                                ,21
Disfarça e Chora                                                                                                                                                                 ,Djavan                                          ,21
Tudo isto é fado                                                                                                                                                                 ,Quatro Ventos                                   ,25
Quando Te Vi                                                                                                                                                                     ,Luisa Sobral                                    ,21
Sr. Vinho                                                                                                                                                                        ,Luisa Sobral                                    ,25
Inês                                                                                                                                                                             ,Luisa Sobral                                    ,25
Seja Agora                                                                                                                                                                       ,Deolinda                                        ,21
Algo Novo                                                                                                                                                                        ,Deolinda                                        ,14
Pois Foi                                                                                                                                                                         ,Deolinda                                        ,15
Há-De Passar                                                                                                                                                                     ,Deolinda                                        ,14
Xico                                                                                                                                                                             ,Luisa Sobral                                    ,10
O Engraxador                                                                                                                                                                     ,Luisa Sobral                                    ,21
Clandestino                                                                                                                                                                      ,Chico César                                     ,11
Trem das Onze                                                                                                                                                                    ,Demonios Da Garoa                               ,15
Chove Chuva                                                                                                                                                                      ,Jorge Ben Jor                                   ,21
Menina Mulher Da Pele Preta                                                                                                                                                      ,Jorge Ben Jor                                   ,29
Agua De Beber                                                                                                                                                                    ,Astrud Gilberto                                 ,15
Agua De Beber                                                                                                                                                                    ,Sophie Milman                                   ,5
Lá Vem O Brasil Descendo A Ladeira                                                                                                                                               ,Moraes Moreira                                  ,18
Amiga Da Minha Mulher                                                                                                                                                            ,Seu Jorge                                       ,3
O Leãozinho                                                                                                                                                                      ,Caetano Veloso                                  ,25
Coração Vagabundo                                                                                                                                                                ,Gal Costa                                       ,15
Fotografia                                                                                                                                                                       ,Vanessa Da Mata                                 ,15
Fotografia                                                                                                                                                                       ,João Gilberto                                   ,25
"Rosa, Menina Rosa                                                                                                                                                              ",Jorge Ben Jor                                   ,29
Fado Toninho                                                                                                                                                                     ,Deolinda                                        ,14
Mal Por Mal                                                                                                                                                                      ,Deolinda                                        ,25
Violão Vadio                                                                                                                                                                     ,Raphael Rabello                                 ,26
Chorinho Pra Voce                                                                                                                                                                ,Paulo Moura                                     ,36
Chorando Baixinho                                                                                                                                                                ,Raphael Rabello                                 ,25
Samba da Bênção                                                                                                                                                                  ,Maria Bethânia                                  ,24
Acabou Chorare                                                                                                                                                                   ,Sílvia Pérez Cruz                               ,4
Ui! (Voce Inventa)                                                                                                                                                               ,Tom Zé                                          ,14
"Augusta, Angélica e Consolação                                                                                                                                                 ",Tom Zé                                          ,21
Todos os olhos                                                                                                                                                                   ,Tom Zé                                          ,21
Vai (Menina amanhã de manhã)                                                                                                                                                     ,Tom Zé                                          ,27
Desde Que o Samba é Samba                                                                                                                                                        ,Gilberto Gil                                    ,15
Insensatez: A Mulher Que Fez                                                                                                                                                     ,Graveola                                        ,31
Ponto De Marinheiro / Marinheiro Só                                                                                                                                              ,Zé Maurício Machline                            ,14
Tanto Mar                                                                                                                                                                        ,Chico Buarque                                   ,24
Diz Que Eu Fui Por Aí                                                                                                                                                            ,Eva Fernández                                   ,15
Argumento                                                                                                                                                                        ,Paulinho Da Viola                               ,14
Chuck Berry Fields Forever                                                                                                                                                       ,Gilberto Gil                                    ,32
