id,cluster
1n7JnwviZ7zf0LR1tcGFq7 ,35
5QGM1U0eCYrQuwSJwTm5Zq ,8
0NLIFSZxPzQhCwnkn5PJYs ,24
3mXqOdlLE1k67WsAxryPFs ,37
7bSzjzjTkWT2CkIPPdp0eA ,10
5pstSsK0G4q86gdyy1Spqh ,26
33u3dO0JWjerYpFN61J3ug ,9
0ylJQpV3K4XnhWhLDMFmH7 ,13
1wL2dk42Cxu4zCJs4SvFsZ ,16
5iKuMCDh634YGrg2HrhtHp ,8
4xGFcQEIjtmbPD6Jsxq14M ,10
26g2HsIOznFYeJWR9zhRXZ ,9
1OzHkIzGMj4S3rWwF8TBjc ,29
3gDzuF3Dy0K4RQszBFAYCv ,8
51P5Djwsur61UY4oitktOQ ,38
2RPHy1PlxehscIM1K1wQMy ,39
52mwxbVQOtYXntgvyXyBc4 ,37
60FNhq77JIoQsUKwf0wf5m ,37
3ftxaxht5yQW99vNcibmUC ,12
5gvBgfXusUpxjOWHyYJXVg ,23
4P9HLmNcE6dUUvsPUvl3gs ,8
3pjbCjL1IlqOfuQ8YOkX6o ,11
65GsUbgQju5Mh0Ab7CRUWB ,26
014sDbzN0MSugmC703Ic4h ,31
2rIzPAaLY6ocCanj5H7edQ ,9
37H0kOistSqxRH8rObQeIe ,35
7BlLxHwobm2gHjXev9dNVe ,33
4WfT503LMc9zLewdsok9un ,8
1wo6p8AMWXREZVowQCa4BC ,13
1htDFdG7K6pW07cuIanjGG ,10
09VxH0oobfXR1bRXZ78VXP ,39
7bM4h5zu7FkChGbSeozZVN ,39
596scNUBRpj2AygfaBVyTj ,1
4PwzeZs0cTVuzZbCmw85hc ,12
22QBm5IGpx49Ggg7b0DMhL ,39
4Lx7fiZRVb7j4U1xFZ9fyo ,7
2BkIiZYOniMrWBBlADyVNX ,7
4lnLWhIiUKxq4Rh898vkVk ,18
1b0Mc4h1XFArQAnQYBmIQb ,39
5Q2pilVN5fcIfzWGF9aGvV ,39
1SEK1Yd01136xaLxAe0G70 ,35
7fnFmtEpfKLnJRkayFeeZ5 ,9
5ZItv6TcaDqcf8Jp2se0po ,29
0OIXsw1P2SZvF6T2qsFFzS ,8
1FSrV96XeBhJZQ4qIaOR79 ,9
418er4nP9ZkcjB8oNzTEgb ,9
5BUYtDh62uirLH4vMnE2dA ,9
5v8WqKhW9CBk2WF9PAcSIw ,23
4Wzym5Rbnn8Ny8rFqEObm1 ,39
0KY71RFPZJPqR04jOQFUw2 ,9
5bcc5zWUX4zjCnAvyyuHu4 ,8
219DjV3d1L9rHlhNgQ5QQB ,10
78u9OrQFHqmEWemJQrQQIE ,31
6CWSXBQ2QwIqtRVDCGZatZ ,10
4az3kPwzJjdQBb8bYaYhy0 ,12
7a1STMihNJUyRxHGxDAFP8 ,23
4JrQ68jT83CXIyVZTHj4Rx ,17
55OpI2p7uXEzsDuhNf7Kzn ,37
1BTO5gV9xSAB7EOBKSlcFY ,35
0bQViEvXvH8iNl8hRRkU5o ,9
1dtPIHAk2W9tn9WVW6hMzS ,8
7ArXv6K80rPeN38OtKOU00 ,39
0OSEW45vRnj45QdIpV1NY4 ,9
5p62Lc3ALej4hOuClxLGUx ,38
